"","name","cmnt","like","year","month","day","hour"
"1","Erzhan Malkovich","мя саган...",5,2016,4,22,1
"6","Alexander Gutin","Вы, дураки, гордиться должны, что казашки красавицы, а не глаза выпучивать и ножками топать.",58,2016,4,22,1
"11","Ayan Kaliahmet","мы и гордимся красавицами но не шлюхами...",1,2016,4,22,5
"16","Alexander Gutin","А кто конкретно шлюха и как вы это определяете? Вы мне, например, кажетесь гомосексуалистом. Только им может не нравиться женское тело. Имею право так думать.",5,2016,4,22,5
"21","Erzhan Malkovich","мир уже не будет другим",9,2016,4,22,1
"26","Гульнара Джолымбекова","замечательно... тут большинство женщин Вам завидуют)",8,2016,4,22,1
"31","Секе Қозған","и тут появляется он... Секе Қозған's photo.",88,2016,4,22,1
"37","Diana Di","Рассмешили картинкой, вы сделали мой день!",2,2016,4,22,2
"42","Dana Tolegen","😂😂😂",0,2016,4,22,2
"47","Maxat Smag","Отличная! Красоту и в одежде видно!)",3,2016,4,22,1
"52","Meruyert Sultangazina","👏👏👏👏",3,2016,4,22,1
"57","Гульнара Джолымбекова","лучше говорить о сексе, чем потом находить брошенных детей в туалетах, а беременных девочек снимать с петли(",41,2016,4,22,1
"62","Ayan Kaliahmet","а давайте не только говорить но и показывать.",0,2016,4,22,6
"67","Ayan Kaliahmet","Галина Львовна хотите проверить?",0,2016,4,22,6
"72","Айгүл Қоқай","👋👋👋👋👋👋👋",2,2016,4,22,1
"77","Елена Зализняк","Елена Зализняк",2,2016,4,22,1
"82","Igor Domrachev","В тихом омуте казашки водятся 😜😜😜",16,2016,4,22,1
"87","Tacettin Erdoğan","Balık gibi vudun var. Çok güzelsin.",2,2016,4,22,1
"92","Адильбек Садуакас","Ну, конечно, как же без вас то тут! Такое фото, понимаю!)))",9,2016,4,22,2
"97","Kayrat Rayssov","Нуу, ващее...! Красивая...))",2,2016,4,22,1
"102","Aliya Arts","У Казахстана два богатства: женщины и полезные ископаемые))",19,2016,4,22,1
"107","Yelena Khoroshavtseva","Ископаемые все вырыли давно",2,2016,4,22,3
"112","Александр Гаевский","Отлично написали. like emoticon",4,2016,4,22,1
"117","Алмаз Рысбаев","Шикарно. Но тема не до конца раскрыта",5,2016,4,22,1
"122","Мария Ким","Молодец, Асель!",2,2016,4,22,1
"127","Alfiya Utepova","like emoticon если нельзя, значит можно!",0,2016,4,22,1
"132","Elmira Pankova","Красотуля 😉",2,2016,4,22,1
"137","Saule Sitsas","Ойбай 😂😂😂 Аселька,ноги то свои красивые зачем скрыла)))",4,2016,4,22,1
"142","Erzhan Malkovich","давайте теперь +21 версию",0,2016,4,22,1
"147","Gulzat Kirgizbaeva","фигура просто супер !!!!",3,2016,4,22,1
"152","Medet Rakhimbayev","Medet Rakhimbayev",2,2016,4,22,1
"157","Antho Budy","sexy Woman..",1,2016,4,22,1
"162","Asel Bayandarova","Saule Sitsas исправлюсь 😘😘😘",1,2016,4,22,1
"167","Saule Sitsas","К моему фото ко всему прочему ещё б добавилось, казашки не качаются))))))",2,2016,4,22,2
"172","Asel Bayandarova","Саулеша, ты мой идеал и пример",1,2016,4,22,2
"177","Madi Aitpaev","Руку опустите)",1,2016,4,22,1
